"Regionskode";"Region";"Dato";"Bekræftede tilfælde i alt";"timestamp_2025-10-21T10:00:08.562"
1082;Midtjylland;2025-02-26;5;
1081;Nordjylland;2025-02-26;2;
1085;Sjælland;2025-02-26;2;
1083;Syddanmark;2025-02-26;6;
1084;Hovedstaden;2025-02-27;19;
1082;Midtjylland;2025-02-27;1;
1081;Nordjylland;2025-02-27;3;
1085;Sjælland;2025-02-27;3;
1083;Syddanmark;2025-02-27;7;
1084;Hovedstaden;2025-02-28;4;
1085;Sjælland;2025-02-28;2;
1083;Syddanmark;2025-02-28;5;
1084;Hovedstaden;2025-03-01;2;
1082;Midtjylland;2025-03-01;1;
1083;Syddanmark;2025-03-01;2;
1084;Hovedstaden;2025-03-02;2;
1081;Nordjylland;2025-03-02;1;
1085;Sjælland;2025-03-02;3;
1083;Syddanmark;2025-03-02;4;
1084;Hovedstaden;2025-03-03;16;
1082;Midtjylland;2025-03-03;3;
1081;Nordjylland;2025-03-03;2;
1085;Sjælland;2025-03-03;4;
1083;Syddanmark;2025-03-03;6;
1084;Hovedstaden;2025-03-04;9;
1081;Nordjylland;2025-03-04;1;
1085;Sjælland;2025-03-04;3;
1083;Syddanmark;2025-03-04;3;
1084;Hovedstaden;2025-03-05;11;
1082;Midtjylland;2025-03-05;2;
1081;Nordjylland;2025-03-05;1;
1085;Sjælland;2025-03-05;2;
1083;Syddanmark;2025-03-05;7;
1084;Hovedstaden;2025-03-06;5;
1082;Midtjylland;2025-03-06;2;
1085;Sjælland;2025-03-06;4;
1083;Syddanmark;2025-03-06;6;
1084;Hovedstaden;2025-03-07;3;
1082;Midtjylland;2025-03-07;3;
1081;Nordjylland;2025-03-07;2;
1085;Sjælland;2025-03-07;2;
1083;Syddanmark;2025-03-07;2;
1084;Hovedstaden;2025-03-08;1;
1081;Nordjylland;2025-03-08;3;
1083;Syddanmark;2025-03-08;3;
1084;Hovedstaden;2025-03-09;3;
1081;Nordjylland;2025-03-09;3;
1085;Sjælland;2025-03-09;2;
1084;Hovedstaden;2025-03-10;10;
1082;Midtjylland;2025-03-10;3;
1081;Nordjylland;2025-03-10;3;
1085;Sjælland;2025-03-10;3;
1083;Syddanmark;2025-03-10;7;
1084;Hovedstaden;2025-03-11;5;
1082;Midtjylland;2025-03-11;1;
1081;Nordjylland;2025-03-11;2;
1085;Sjælland;2025-03-11;2;
1083;Syddanmark;2025-03-11;6;
1084;Hovedstaden;2025-03-12;4;
1082;Midtjylland;2025-03-12;1;
1085;Sjælland;2025-03-12;2;
1083;Syddanmark;2025-03-12;6;
1084;Hovedstaden;2025-03-13;12;
1081;Nordjylland;2025-03-13;2;
1085;Sjælland;2025-03-13;3;
1083;Syddanmark;2025-03-13;4;
1084;Hovedstaden;2025-03-14;8;
1082;Midtjylland;2025-03-14;2;
1081;Nordjylland;2025-03-14;1;
1085;Sjælland;2025-03-14;1;
1083;Syddanmark;2025-03-14;4;
1084;Hovedstaden;2025-03-15;3;
1082;Midtjylland;2025-03-15;1;
1081;Nordjylland;2025-03-15;3;
1085;Sjælland;2025-03-15;2;
1083;Syddanmark;2025-03-15;1;
1084;Hovedstaden;2025-03-16;3;
1082;Midtjylland;2025-03-16;1;
1081;Nordjylland;2025-03-16;1;
1085;Sjælland;2025-03-16;6;
1083;Syddanmark;2025-03-16;2;
1084;Hovedstaden;2025-03-17;11;
1082;Midtjylland;2025-03-17;4;
1081;Nordjylland;2025-03-17;2;
1085;Sjælland;2025-03-17;4;
1083;Syddanmark;2025-03-17;4;
1084;Hovedstaden;2025-03-18;3;
1082;Midtjylland;2025-03-18;1;
1081;Nordjylland;2025-03-18;2;
1085;Sjælland;2025-03-18;7;
1083;Syddanmark;2025-03-18;3;
1084;Hovedstaden;2025-03-19;4;
1082;Midtjylland;2025-03-19;4;
1081;Nordjylland;2025-03-19;1;
1085;Sjælland;2025-03-19;6;
1083;Syddanmark;2025-03-19;3;
1084;Hovedstaden;2025-03-20;10;
1082;Midtjylland;2025-03-20;2;
1081;Nordjylland;2025-03-20;3;
1085;Sjælland;2025-03-20;2;
1084;Hovedstaden;2025-03-21;10;
1082;Midtjylland;2025-03-21;2;
1081;Nordjylland;2025-03-21;1;
1085;Sjælland;2025-03-21;4;
1083;Syddanmark;2025-03-21;2;
1081;Nordjylland;2025-03-22;2;
1083;Syddanmark;2025-03-22;2;
1084;Hovedstaden;2025-03-23;5;
1085;Sjælland;2025-03-23;3;
1083;Syddanmark;2025-03-23;2;
1084;Hovedstaden;2025-03-24;5;
1081;Nordjylland;2025-03-24;1;
1085;Sjælland;2025-03-24;2;
1083;Syddanmark;2025-03-24;4;
1084;Hovedstaden;2025-03-25;7;
1082;Midtjylland;2025-03-25;1;
1081;Nordjylland;2025-03-25;2;
1085;Sjælland;2025-03-25;2;
1084;Hovedstaden;2025-03-26;6;
1081;Nordjylland;2025-03-26;1;
1085;Sjælland;2025-03-26;4;
1083;Syddanmark;2025-03-26;2;
1084;Hovedstaden;2025-03-27;10;
1085;Sjælland;2025-03-27;2;
1083;Syddanmark;2025-03-27;3;
1084;Hovedstaden;2025-03-28;5;
1085;Sjælland;2025-03-28;2;
1083;Syddanmark;2025-03-28;2;
1084;Hovedstaden;2025-03-29;4;
1082;Midtjylland;2025-03-29;1;
1081;Nordjylland;2025-03-29;1;
1085;Sjælland;2025-03-29;1;
1084;Hovedstaden;2025-03-30;3;
1084;Hovedstaden;2025-03-31;5;
1081;Nordjylland;2025-03-31;1;
1083;Syddanmark;2025-03-31;3;
1084;Hovedstaden;2025-04-01;8;
1082;Midtjylland;2025-04-01;1;
1085;Sjælland;2025-04-01;2;
1084;Hovedstaden;2025-04-02;4;
1082;Midtjylland;2025-04-02;1;
1085;Sjælland;2025-04-02;2;
1083;Syddanmark;2025-04-02;1;
1084;Hovedstaden;2025-04-03;6;
1085;Sjælland;2025-04-03;1;
1083;Syddanmark;2025-04-03;1;
1084;Hovedstaden;2025-04-04;2;
1081;Nordjylland;2025-04-04;2;
1083;Syddanmark;2025-04-04;1;
1084;Hovedstaden;2025-04-05;4;
1085;Sjælland;2025-04-05;1;
1084;Hovedstaden;2025-04-06;2;
1085;Sjælland;2025-04-06;1;
1083;Syddanmark;2025-04-06;2;
1084;Hovedstaden;2025-04-07;5;
1085;Sjælland;2025-04-07;1;
1083;Syddanmark;2025-04-07;1;
1084;Hovedstaden;2025-04-08;1;
1081;Nordjylland;2025-04-08;1;
1085;Sjælland;2025-04-08;1;
1083;Syddanmark;2025-04-08;1;
1084;Hovedstaden;2025-04-09;3;
1081;Nordjylland;2025-04-09;1;
1085;Sjælland;2025-04-09;4;
1084;Hovedstaden;2025-04-10;6;
1082;Midtjylland;2025-04-10;1;
1081;Nordjylland;2025-04-10;1;
1085;Sjælland;2025-04-10;2;
1083;Syddanmark;2025-04-10;3;
1084;Hovedstaden;2025-04-11;4;
1081;Nordjylland;2025-04-11;1;
1083;Syddanmark;2025-04-11;2;
1084;Hovedstaden;2025-04-12;2;
1085;Sjælland;2025-04-12;2;
1084;Hovedstaden;2025-04-13;4;
1083;Syddanmark;2025-04-13;1;
1084;Hovedstaden;2025-04-14;6;
1083;Syddanmark;2025-04-14;1;
1084;Hovedstaden;2025-04-15;5;
1082;Midtjylland;2025-04-15;1;
1085;Sjælland;2025-04-15;1;
1083;Syddanmark;2025-04-15;1;
1084;Hovedstaden;2025-04-16;4;
1081;Nordjylland;2025-04-16;1;
1083;Syddanmark;2025-04-16;2;
1084;Hovedstaden;2025-04-17;3;
1085;Sjælland;2025-04-17;1;
1084;Hovedstaden;2025-04-18;3;
1082;Midtjylland;2025-04-18;1;
1081;Nordjylland;2025-04-18;1;
1085;Sjælland;2025-04-18;1;
1084;Hovedstaden;2025-04-19;2;
1083;Syddanmark;2025-04-19;1;
1084;Hovedstaden;2025-04-20;3;
1081;Nordjylland;2025-04-20;1;
1084;Hovedstaden;2025-04-21;5;
1082;Midtjylland;2025-04-21;1;
1081;Nordjylland;2025-04-21;1;
1085;Sjælland;2025-04-21;2;
1083;Syddanmark;2025-04-21;1;
1084;Hovedstaden;2025-04-22;5;
1082;Midtjylland;2025-04-22;1;
1085;Sjælland;2025-04-22;1;
1084;Hovedstaden;2025-04-23;4;
1085;Sjælland;2025-04-23;2;
1083;Syddanmark;2025-04-23;1;
1084;Hovedstaden;2025-04-24;2;
1081;Nordjylland;2025-04-24;2;
1083;Syddanmark;2025-04-24;5;
1084;Hovedstaden;2025-04-25;6;
1083;Syddanmark;2025-04-25;3;
1084;Hovedstaden;2025-04-26;3;
1085;Sjælland;2025-04-26;1;
1084;Hovedstaden;2025-04-27;3;
1082;Midtjylland;2025-04-27;1;
1085;Sjælland;2025-04-27;1;
1084;Hovedstaden;2025-04-28;11;
1082;Midtjylland;2025-04-28;1;
1081;Nordjylland;2025-04-28;1;
1085;Sjælland;2025-04-28;1;
1084;Hovedstaden;2025-04-29;7;
1085;Sjælland;2025-04-29;1;
1083;Syddanmark;2025-04-29;3;
1084;Hovedstaden;2025-04-30;5;
1082;Midtjylland;2025-04-30;1;
1081;Nordjylland;2025-04-30;1;
1083;Syddanmark;2025-04-30;1;
1084;Hovedstaden;2025-05-01;2;
1081;Nordjylland;2025-05-01;1;
1085;Sjælland;2025-05-01;1;
1083;Syddanmark;2025-05-01;1;
1084;Hovedstaden;2025-05-02;6;
1082;Midtjylland;2025-05-02;1;
1085;Sjælland;2025-05-02;1;
1083;Syddanmark;2025-05-02;1;
1084;Hovedstaden;2025-05-03;1;
1082;Midtjylland;2025-05-03;1;
1084;Hovedstaden;2025-05-04;1;
1084;Hovedstaden;2025-05-05;9;
1082;Midtjylland;2025-05-05;1;
1084;Hovedstaden;2025-05-06;5;
1082;Midtjylland;2025-05-06;1;
1083;Syddanmark;2025-05-06;1;
1084;Hovedstaden;2025-05-07;2;
1082;Midtjylland;2025-05-07;1;
1085;Sjælland;2025-05-07;1;
1084;Hovedstaden;2025-05-08;5;
1081;Nordjylland;2025-05-08;2;
1083;Syddanmark;2025-05-08;1;
1084;Hovedstaden;2025-05-09;2;
1085;Sjælland;2025-05-09;2;
1083;Syddanmark;2025-05-09;5;
1084;Hovedstaden;2025-05-10;2;
1084;Hovedstaden;2025-05-11;4;
1081;Nordjylland;2025-05-11;1;
1085;Sjælland;2025-05-11;1;
1084;Hovedstaden;2025-05-12;7;
1081;Nordjylland;2025-05-12;1;
1083;Syddanmark;2025-05-12;1;
1084;Hovedstaden;2025-05-13;5;
1083;Syddanmark;2025-05-13;2;
1084;Hovedstaden;2025-05-14;4;
1082;Midtjylland;2025-05-14;1;
1085;Sjælland;2025-05-14;1;
1083;Syddanmark;2025-05-14;2;
1084;Hovedstaden;2025-05-15;6;
1085;Sjælland;2025-05-15;3;
1084;Hovedstaden;2025-05-16;4;
1084;Hovedstaden;2025-05-17;5;
1085;Sjælland;2025-05-17;1;
1083;Syddanmark;2025-05-17;1;
1084;Hovedstaden;2025-05-18;2;
1085;Sjælland;2025-05-18;1;
1084;Hovedstaden;2025-05-19;5;
1082;Midtjylland;2025-05-19;2;
1081;Nordjylland;2025-05-19;2;
1085;Sjælland;2025-05-19;1;
1083;Syddanmark;2025-05-19;2;
1084;Hovedstaden;2025-05-20;8;
1082;Midtjylland;2025-05-20;1;
1083;Syddanmark;2025-05-20;1;
1084;Hovedstaden;2025-05-21;7;
1081;Nordjylland;2025-05-21;2;
1085;Sjælland;2025-05-21;4;
1084;Hovedstaden;2025-05-22;5;
1082;Midtjylland;2025-05-22;3;
1085;Sjælland;2025-05-22;2;
1083;Syddanmark;2025-05-22;1;
1084;Hovedstaden;2025-05-23;6;
1085;Sjælland;2025-05-23;1;
1083;Syddanmark;2025-05-23;3;
1084;Hovedstaden;2025-05-24;1;
1081;Nordjylland;2025-05-24;1;
1085;Sjælland;2025-05-24;1;
1084;Hovedstaden;2025-05-25;5;
1085;Sjælland;2025-05-25;2;
1083;Syddanmark;2025-05-25;1;
1084;Hovedstaden;2025-05-26;5;
1082;Midtjylland;2025-05-26;1;
1081;Nordjylland;2025-05-26;1;
1085;Sjælland;2025-05-26;1;
1083;Syddanmark;2025-05-26;2;
1084;Hovedstaden;2025-05-27;5;
1082;Midtjylland;2025-05-27;2;
1085;Sjælland;2025-05-27;1;
1083;Syddanmark;2025-05-27;2;
1084;Hovedstaden;2025-05-28;4;
1082;Midtjylland;2025-05-28;2;
1081;Nordjylland;2025-05-28;1;
1083;Syddanmark;2025-05-28;1;
1084;Hovedstaden;2025-05-29;4;
1085;Sjælland;2025-05-29;1;
1084;Hovedstaden;2025-05-30;4;
1085;Sjælland;2025-05-30;1;
1083;Syddanmark;2025-05-30;2;
1084;Hovedstaden;2025-05-31;3;
1085;Sjælland;2025-05-31;1;
1083;Syddanmark;2025-05-31;1;
1084;Hovedstaden;2025-06-01;3;
1084;Hovedstaden;2025-06-02;9;
1082;Midtjylland;2025-06-02;1;
1081;Nordjylland;2025-06-02;1;
1085;Sjælland;2025-06-02;3;
1083;Syddanmark;2025-06-02;1;
1084;Hovedstaden;2025-06-03;6;
1081;Nordjylland;2025-06-03;3;
1085;Sjælland;2025-06-03;1;
1083;Syddanmark;2025-06-03;3;
1084;Hovedstaden;2025-06-04;9;
1085;Sjælland;2025-06-04;2;
1083;Syddanmark;2025-06-04;2;
1084;Hovedstaden;2025-06-05;2;
1085;Sjælland;2025-06-05;1;
1083;Syddanmark;2025-06-05;1;
1084;Hovedstaden;2025-06-06;4;
1082;Midtjylland;2025-06-06;1;
1081;Nordjylland;2025-06-06;1;
1083;Syddanmark;2025-06-06;1;
1084;Hovedstaden;2025-06-07;1;
1081;Nordjylland;2025-06-07;2;
1085;Sjælland;2025-06-07;2;
1083;Syddanmark;2025-06-07;1;
1085;Sjælland;2025-06-08;3;
1084;Hovedstaden;2025-06-09;5;
1081;Nordjylland;2025-06-09;1;
1083;Syddanmark;2025-06-09;2;
1084;Hovedstaden;2025-06-10;5;
1085;Sjælland;2025-06-10;2;
1084;Hovedstaden;2025-06-11;5;
1082;Midtjylland;2025-06-11;1;
1085;Sjælland;2025-06-11;1;
1083;Syddanmark;2025-06-11;1;
1084;Hovedstaden;2025-06-12;3;
1081;Nordjylland;2025-06-12;1;
1084;Hovedstaden;2025-06-13;4;
1082;Midtjylland;2025-06-13;1;
1081;Nordjylland;2025-06-13;1;
1085;Sjælland;2025-06-13;1;
1083;Syddanmark;2025-06-13;1;
1084;Hovedstaden;2025-06-14;3;
1085;Sjælland;2025-06-14;1;
1083;Syddanmark;2025-06-14;2;
1085;Sjælland;2025-06-15;3;
1083;Syddanmark;2025-06-15;1;
1084;Hovedstaden;2025-06-16;11;
1082;Midtjylland;2025-06-16;1;
1081;Nordjylland;2025-06-16;1;
1085;Sjælland;2025-06-16;1;
1083;Syddanmark;2025-06-16;1;
1084;Hovedstaden;2025-06-17;10;
1082;Midtjylland;2025-06-17;2;
1083;Syddanmark;2025-06-17;1;
1084;Hovedstaden;2025-06-18;4;
1082;Midtjylland;2025-06-18;1;
1085;Sjælland;2025-06-18;1;
1084;Hovedstaden;2025-06-19;5;
1082;Midtjylland;2025-06-19;1;
1085;Sjælland;2025-06-19;2;
1083;Syddanmark;2025-06-19;4;
1084;Hovedstaden;2025-06-20;7;
1082;Midtjylland;2025-06-20;1;
1085;Sjælland;2025-06-20;1;
1083;Syddanmark;2025-06-20;2;
1084;Hovedstaden;2025-06-21;6;
1084;Hovedstaden;2025-06-22;6;
1084;Hovedstaden;2025-06-23;6;
1081;Nordjylland;2025-06-23;1;
1085;Sjælland;2025-06-23;3;
1083;Syddanmark;2025-06-23;1;
1084;Hovedstaden;2025-06-24;5;
1081;Nordjylland;2025-06-24;1;
1083;Syddanmark;2025-06-24;1;
1084;Hovedstaden;2025-06-25;3;
1082;Midtjylland;2025-06-25;1;
1085;Sjælland;2025-06-25;1;
1083;Syddanmark;2025-06-25;3;
1084;Hovedstaden;2025-06-26;5;
1082;Midtjylland;2025-06-26;1;
1085;Sjælland;2025-06-26;1;
1083;Syddanmark;2025-06-26;1;
1084;Hovedstaden;2025-06-27;6;
1085;Sjælland;2025-06-27;1;
1083;Syddanmark;2025-06-27;3;
1084;Hovedstaden;2025-06-28;2;
1082;Midtjylland;2025-06-28;1;
1081;Nordjylland;2025-06-28;2;
1085;Sjælland;2025-06-28;1;
1083;Syddanmark;2025-06-28;1;
1084;Hovedstaden;2025-06-29;3;
1085;Sjælland;2025-06-29;1;
1084;Hovedstaden;2025-06-30;11;
1081;Nordjylland;2025-06-30;1;
1085;Sjælland;2025-06-30;1;
1084;Hovedstaden;2025-07-01;4;
1081;Nordjylland;2025-07-01;1;
1083;Syddanmark;2025-07-01;1;
1084;Hovedstaden;2025-07-02;11;
1081;Nordjylland;2025-07-02;2;
1085;Sjælland;2025-07-02;1;
1084;Hovedstaden;2025-07-03;5;
1082;Midtjylland;2025-07-03;1;
1081;Nordjylland;2025-07-03;1;
1084;Hovedstaden;2025-07-04;2;
1081;Nordjylland;2025-07-04;1;
1083;Syddanmark;2025-07-04;1;
1084;Hovedstaden;2025-07-05;1;
1081;Nordjylland;2025-07-05;1;
1085;Sjælland;2025-07-05;1;
1084;Hovedstaden;2025-07-06;4;
1081;Nordjylland;2025-07-06;2;
1085;Sjælland;2025-07-06;1;
1084;Hovedstaden;2025-07-07;6;
1081;Nordjylland;2025-07-07;1;
1085;Sjælland;2025-07-07;5;
1083;Syddanmark;2025-07-07;2;
1084;Hovedstaden;2025-07-08;7;
1085;Sjælland;2025-07-08;3;
1083;Syddanmark;2025-07-08;1;
1084;Hovedstaden;2025-07-09;2;
1083;Syddanmark;2025-07-09;1;
1084;Hovedstaden;2025-07-10;5;
1082;Midtjylland;2025-07-10;1;
1081;Nordjylland;2025-07-10;1;
1083;Syddanmark;2025-07-10;2;
1084;Hovedstaden;2025-07-11;4;
1081;Nordjylland;2025-07-11;1;
1085;Sjælland;2025-07-11;2;
1083;Syddanmark;2025-07-11;1;
1084;Hovedstaden;2025-07-12;3;
1085;Sjælland;2025-07-12;1;
1083;Syddanmark;2025-07-12;1;
1084;Hovedstaden;2025-07-13;1;
1083;Syddanmark;2025-07-13;2;
1084;Hovedstaden;2025-07-14;6;
1082;Midtjylland;2025-07-14;3;
1081;Nordjylland;2025-07-14;2;
1085;Sjælland;2025-07-14;2;
1084;Hovedstaden;2025-07-15;3;
1082;Midtjylland;2025-07-15;1;
1081;Nordjylland;2025-07-15;1;
1085;Sjælland;2025-07-15;1;
1083;Syddanmark;2025-07-15;1;
1084;Hovedstaden;2025-07-16;10;
1081;Nordjylland;2025-07-16;2;
1085;Sjælland;2025-07-16;1;
1083;Syddanmark;2025-07-16;1;
1084;Hovedstaden;2025-07-17;6;
1082;Midtjylland;2025-07-17;1;
1081;Nordjylland;2025-07-17;1;
1083;Syddanmark;2025-07-17;1;
1084;Hovedstaden;2025-07-18;6;
1082;Midtjylland;2025-07-18;1;
1081;Nordjylland;2025-07-18;1;
1085;Sjælland;2025-07-18;2;
1083;Syddanmark;2025-07-18;1;
1082;Midtjylland;2025-07-19;1;
1084;Hovedstaden;2025-07-20;4;
1081;Nordjylland;2025-07-20;1;
1083;Syddanmark;2025-07-20;2;
1084;Hovedstaden;2025-07-21;11;
1082;Midtjylland;2025-07-21;2;
1085;Sjælland;2025-07-21;1;
1084;Hovedstaden;2025-07-22;7;
1081;Nordjylland;2025-07-22;2;
1085;Sjælland;2025-07-22;2;
1084;Hovedstaden;2025-07-23;3;
1082;Midtjylland;2025-07-23;2;
1085;Sjælland;2025-07-23;2;
1083;Syddanmark;2025-07-23;1;
1084;Hovedstaden;2025-07-24;8;
1082;Midtjylland;2025-07-24;2;
1085;Sjælland;2025-07-24;2;
1083;Syddanmark;2025-07-24;1;
1084;Hovedstaden;2025-07-25;4;
1082;Midtjylland;2025-07-25;1;
1081;Nordjylland;2025-07-25;1;
1085;Sjælland;2025-07-25;1;
1083;Syddanmark;2025-07-25;1;
1084;Hovedstaden;2025-07-26;2;
1083;Syddanmark;2025-07-26;2;
1081;Nordjylland;2025-07-27;1;
1083;Syddanmark;2025-07-27;1;
1084;Hovedstaden;2025-07-28;6;
1081;Nordjylland;2025-07-28;1;
1085;Sjælland;2025-07-28;1;
1084;Hovedstaden;2025-07-29;6;
1082;Midtjylland;2025-07-29;1;
1081;Nordjylland;2025-07-29;2;
1085;Sjælland;2025-07-29;1;
1084;Hovedstaden;2025-07-30;2;
1082;Midtjylland;2025-07-30;2;
1081;Nordjylland;2025-07-30;1;
1085;Sjælland;2025-07-30;1;
1084;Hovedstaden;2025-07-31;9;
1082;Midtjylland;2025-07-31;1;
1085;Sjælland;2025-07-31;2;
1083;Syddanmark;2025-07-31;2;
1084;Hovedstaden;2025-08-01;8;
1085;Sjælland;2025-08-01;1;
1084;Hovedstaden;2025-08-02;2;
1081;Nordjylland;2025-08-02;1;
1085;Sjælland;2025-08-02;3;
1084;Hovedstaden;2025-08-04;9;
1081;Nordjylland;2025-08-04;1;
1085;Sjælland;2025-08-04;2;
1084;Hovedstaden;2025-08-05;6;
1082;Midtjylland;2025-08-05;1;
1081;Nordjylland;2025-08-05;1;
1083;Syddanmark;2025-08-05;1;
1084;Hovedstaden;2025-08-06;8;
1081;Nordjylland;2025-08-06;1;
1084;Hovedstaden;2025-08-07;13;
1082;Midtjylland;2025-08-07;1;
1085;Sjælland;2025-08-07;1;
1084;Hovedstaden;2025-08-08;10;
1082;Midtjylland;2025-08-08;1;
1081;Nordjylland;2025-08-08;2;
1085;Sjælland;2025-08-08;5;
1083;Syddanmark;2025-08-08;2;
1084;Hovedstaden;2025-08-09;5;
1085;Sjælland;2025-08-09;3;
1083;Syddanmark;2025-08-09;2;
1084;Hovedstaden;2025-08-10;5;
1082;Midtjylland;2025-08-10;1;
1085;Sjælland;2025-08-10;1;
1084;Hovedstaden;2025-08-11;15;
1082;Midtjylland;2025-08-11;3;
1081;Nordjylland;2025-08-11;1;
1085;Sjælland;2025-08-11;4;
1083;Syddanmark;2025-08-11;4;
1084;Hovedstaden;2025-08-12;23;
1082;Midtjylland;2025-08-12;3;
1085;Sjælland;2025-08-12;1;
1083;Syddanmark;2025-08-12;2;
1084;Hovedstaden;2025-08-13;16;
1082;Midtjylland;2025-08-13;1;
1085;Sjælland;2025-08-13;1;
1083;Syddanmark;2025-08-13;4;
1084;Hovedstaden;2025-08-14;20;
1082;Midtjylland;2025-08-14;1;
1081;Nordjylland;2025-08-14;1;
1085;Sjælland;2025-08-14;2;
1083;Syddanmark;2025-08-14;2;
1084;Hovedstaden;2025-08-15;12;
1082;Midtjylland;2025-08-15;2;
1085;Sjælland;2025-08-15;3;
1083;Syddanmark;2025-08-15;2;
1084;Hovedstaden;2025-08-16;6;
1082;Midtjylland;2025-08-16;1;
1085;Sjælland;2025-08-16;3;
1083;Syddanmark;2025-08-16;2;
1084;Hovedstaden;2025-08-17;3;
1081;Nordjylland;2025-08-17;1;
1085;Sjælland;2025-08-17;2;
1083;Syddanmark;2025-08-17;2;
1084;Hovedstaden;2025-08-18;18;
1082;Midtjylland;2025-08-18;2;
1081;Nordjylland;2025-08-18;4;
1085;Sjælland;2025-08-18;1;
1083;Syddanmark;2025-08-18;4;
1084;Hovedstaden;2025-08-19;11;
1082;Midtjylland;2025-08-19;4;
1081;Nordjylland;2025-08-19;3;
1085;Sjælland;2025-08-19;1;
1083;Syddanmark;2025-08-19;5;
1084;Hovedstaden;2025-08-20;10;
1082;Midtjylland;2025-08-20;1;
