"Regionskode";"Region";"Dato";"Indlæggelser";"timestamp_2025-10-21T10:00:08.562"
1084;Hovedstaden;2021-04-02;12;
1082;Midtjylland;2021-04-02;4;
1081;Nordjylland;2021-04-02;1;
1085;Sjælland;2021-04-02;2;
1083;Syddanmark;2021-04-02;9;
1084;Hovedstaden;2021-04-03;14;
1082;Midtjylland;2021-04-03;2;
1081;Nordjylland;2021-04-03;2;
1085;Sjælland;2021-04-03;3;
1083;Syddanmark;2021-04-03;4;
1084;Hovedstaden;2021-04-04;12;
1082;Midtjylland;2021-04-04;1;
1081;Nordjylland;2021-04-04;3;
1085;Sjælland;2021-04-04;4;
1083;Syddanmark;2021-04-04;5;
1084;Hovedstaden;2021-04-05;13;
1082;Midtjylland;2021-04-05;2;
1085;Sjælland;2021-04-05;4;
1083;Syddanmark;2021-04-05;3;
1084;Hovedstaden;2021-04-06;21;
1082;Midtjylland;2021-04-06;7;
1081;Nordjylland;2021-04-06;3;
1085;Sjælland;2021-04-06;4;
1083;Syddanmark;2021-04-06;5;
1084;Hovedstaden;2021-04-07;10;
1082;Midtjylland;2021-04-07;3;
1081;Nordjylland;2021-04-07;6;
1085;Sjælland;2021-04-07;3;
1083;Syddanmark;2021-04-07;2;
1084;Hovedstaden;2021-04-08;15;
1082;Midtjylland;2021-04-08;4;
1081;Nordjylland;2021-04-08;2;
1085;Sjælland;2021-04-08;7;
1083;Syddanmark;2021-04-08;2;
1084;Hovedstaden;2021-04-09;12;
1082;Midtjylland;2021-04-09;3;
1081;Nordjylland;2021-04-09;2;
1085;Sjælland;2021-04-09;3;
1083;Syddanmark;2021-04-09;4;
1084;Hovedstaden;2021-04-10;12;
1082;Midtjylland;2021-04-10;4;
1085;Sjælland;2021-04-10;1;
1083;Syddanmark;2021-04-10;4;
1084;Hovedstaden;2021-04-11;11;
1082;Midtjylland;2021-04-11;3;
1085;Sjælland;2021-04-11;2;
1083;Syddanmark;2021-04-11;3;
1084;Hovedstaden;2021-04-12;16;
1082;Midtjylland;2021-04-12;4;
1081;Nordjylland;2021-04-12;2;
1085;Sjælland;2021-04-12;2;
1083;Syddanmark;2021-04-12;8;
1084;Hovedstaden;2021-04-13;9;
1082;Midtjylland;2021-04-13;3;
1081;Nordjylland;2021-04-13;2;
1085;Sjælland;2021-04-13;6;
1083;Syddanmark;2021-04-13;4;
1084;Hovedstaden;2021-04-14;9;
1082;Midtjylland;2021-04-14;7;
1081;Nordjylland;2021-04-14;2;
1085;Sjælland;2021-04-14;1;
1083;Syddanmark;2021-04-14;4;
1084;Hovedstaden;2021-04-15;7;
1082;Midtjylland;2021-04-15;3;
1081;Nordjylland;2021-04-15;2;
1085;Sjælland;2021-04-15;8;
1083;Syddanmark;2021-04-15;2;
1084;Hovedstaden;2021-04-16;8;
1082;Midtjylland;2021-04-16;6;
1085;Sjælland;2021-04-16;3;
1083;Syddanmark;2021-04-16;5;
1084;Hovedstaden;2021-04-17;12;
1082;Midtjylland;2021-04-17;3;
1085;Sjælland;2021-04-17;1;
1083;Syddanmark;2021-04-17;9;
1084;Hovedstaden;2021-04-18;13;
1082;Midtjylland;2021-04-18;5;
1081;Nordjylland;2021-04-18;4;
1085;Sjælland;2021-04-18;4;
1083;Syddanmark;2021-04-18;6;
1084;Hovedstaden;2021-04-19;20;
1082;Midtjylland;2021-04-19;4;
1081;Nordjylland;2021-04-19;2;
1085;Sjælland;2021-04-19;7;
1083;Syddanmark;2021-04-19;3;
1084;Hovedstaden;2021-04-20;8;
1082;Midtjylland;2021-04-20;8;
1081;Nordjylland;2021-04-20;2;
1085;Sjælland;2021-04-20;3;
1083;Syddanmark;2021-04-20;1;
1084;Hovedstaden;2021-04-21;15;
1082;Midtjylland;2021-04-21;6;
1085;Sjælland;2021-04-21;2;
1083;Syddanmark;2021-04-21;3;
1084;Hovedstaden;2021-04-22;12;
1082;Midtjylland;2021-04-22;3;
1085;Sjælland;2021-04-22;4;
1083;Syddanmark;2021-04-22;4;
1084;Hovedstaden;2021-04-23;12;
1082;Midtjylland;2021-04-23;7;
1081;Nordjylland;2021-04-23;1;
1085;Sjælland;2021-04-23;2;
1083;Syddanmark;2021-04-23;3;
1084;Hovedstaden;2021-04-24;11;
1082;Midtjylland;2021-04-24;1;
1081;Nordjylland;2021-04-24;1;
1085;Sjælland;2021-04-24;8;
1083;Syddanmark;2021-04-24;5;
1084;Hovedstaden;2021-04-25;2;
1082;Midtjylland;2021-04-25;1;
1081;Nordjylland;2021-04-25;1;
1085;Sjælland;2021-04-25;3;
1083;Syddanmark;2021-04-25;2;
1084;Hovedstaden;2021-04-26;1;
1082;Midtjylland;2021-04-26;4;
1081;Nordjylland;2021-04-26;4;
1085;Sjælland;2021-04-26;3;
1083;Syddanmark;2021-04-26;2;
1084;Hovedstaden;2021-04-27;11;
1082;Midtjylland;2021-04-27;11;
1081;Nordjylland;2021-04-27;3;
1085;Sjælland;2021-04-27;2;
1083;Syddanmark;2021-04-27;4;
1084;Hovedstaden;2021-04-28;14;
1082;Midtjylland;2021-04-28;3;
1085;Sjælland;2021-04-28;4;
1083;Syddanmark;2021-04-28;4;
1084;Hovedstaden;2021-04-29;13;
1082;Midtjylland;2021-04-29;7;
1081;Nordjylland;2021-04-29;2;
1085;Sjælland;2021-04-29;4;
1083;Syddanmark;2021-04-29;3;
1084;Hovedstaden;2021-04-30;6;
1082;Midtjylland;2021-04-30;2;
1081;Nordjylland;2021-04-30;1;
1085;Sjælland;2021-04-30;4;
1083;Syddanmark;2021-04-30;3;
1084;Hovedstaden;2021-05-01;11;
1082;Midtjylland;2021-05-01;3;
1081;Nordjylland;2021-05-01;3;
1085;Sjælland;2021-05-01;3;
1083;Syddanmark;2021-05-01;2;
1084;Hovedstaden;2021-05-02;10;
1082;Midtjylland;2021-05-02;4;
1081;Nordjylland;2021-05-02;3;
1085;Sjælland;2021-05-02;4;
1083;Syddanmark;2021-05-02;2;
1084;Hovedstaden;2021-05-03;10;
1082;Midtjylland;2021-05-03;2;
1081;Nordjylland;2021-05-03;4;
1085;Sjælland;2021-05-03;5;
1083;Syddanmark;2021-05-03;1;
1084;Hovedstaden;2021-05-04;11;
1082;Midtjylland;2021-05-04;4;
1081;Nordjylland;2021-05-04;1;
1085;Sjælland;2021-05-04;2;
1083;Syddanmark;2021-05-04;1;
1084;Hovedstaden;2021-05-05;7;
1082;Midtjylland;2021-05-05;3;
1085;Sjælland;2021-05-05;4;
1083;Syddanmark;2021-05-05;4;
1084;Hovedstaden;2021-05-06;6;
1082;Midtjylland;2021-05-06;8;
1085;Sjælland;2021-05-06;2;
1083;Syddanmark;2021-05-06;5;
1084;Hovedstaden;2021-05-07;15;
1082;Midtjylland;2021-05-07;7;
1081;Nordjylland;2021-05-07;2;
1085;Sjælland;2021-05-07;3;
1083;Syddanmark;2021-05-07;1;
1084;Hovedstaden;2021-05-08;18;
1082;Midtjylland;2021-05-08;4;
1081;Nordjylland;2021-05-08;1;
1085;Sjælland;2021-05-08;6;
1083;Syddanmark;2021-05-08;4;
1084;Hovedstaden;2021-05-09;9;
1082;Midtjylland;2021-05-09;3;
1081;Nordjylland;2021-05-09;2;
1085;Sjælland;2021-05-09;4;
1083;Syddanmark;2021-05-09;3;
1084;Hovedstaden;2021-05-10;21;
1082;Midtjylland;2021-05-10;5;
1081;Nordjylland;2021-05-10;6;
1085;Sjælland;2021-05-10;2;
1083;Syddanmark;2021-05-10;1;
1084;Hovedstaden;2021-05-11;11;
1082;Midtjylland;2021-05-11;3;
1085;Sjælland;2021-05-11;3;
1083;Syddanmark;2021-05-11;1;
1084;Hovedstaden;2021-05-12;13;
1082;Midtjylland;2021-05-12;3;
1081;Nordjylland;2021-05-12;2;
1085;Sjælland;2021-05-12;3;
1083;Syddanmark;2021-05-12;2;
1084;Hovedstaden;2021-05-13;15;
1082;Midtjylland;2021-05-13;4;
1081;Nordjylland;2021-05-13;2;
1085;Sjælland;2021-05-13;5;
1083;Syddanmark;2021-05-13;5;
1084;Hovedstaden;2021-05-14;9;
1082;Midtjylland;2021-05-14;6;
1081;Nordjylland;2021-05-14;6;
1085;Sjælland;2021-05-14;7;
1083;Syddanmark;2021-05-14;6;
1084;Hovedstaden;2021-05-15;8;
1082;Midtjylland;2021-05-15;4;
1081;Nordjylland;2021-05-15;2;
1085;Sjælland;2021-05-15;8;
1083;Syddanmark;2021-05-15;1;
1084;Hovedstaden;2021-05-16;12;
1082;Midtjylland;2021-05-16;3;
1085;Sjælland;2021-05-16;5;
1083;Syddanmark;2021-05-16;7;
1084;Hovedstaden;2021-05-17;7;
1082;Midtjylland;2021-05-17;6;
1081;Nordjylland;2021-05-17;2;
1085;Sjælland;2021-05-17;6;
1084;Hovedstaden;2021-05-18;5;
1082;Midtjylland;2021-05-18;4;
1085;Sjælland;2021-05-18;7;
1083;Syddanmark;2021-05-18;1;
1084;Hovedstaden;2021-05-19;9;
1082;Midtjylland;2021-05-19;5;
1081;Nordjylland;2021-05-19;1;
1085;Sjælland;2021-05-19;2;
1083;Syddanmark;2021-05-19;4;
1084;Hovedstaden;2021-05-20;9;
1082;Midtjylland;2021-05-20;3;
1081;Nordjylland;2021-05-20;2;
1083;Syddanmark;2021-05-20;2;
1084;Hovedstaden;2021-05-21;14;
1082;Midtjylland;2021-05-21;5;
1081;Nordjylland;2021-05-21;2;
1085;Sjælland;2021-05-21;3;
1083;Syddanmark;2021-05-21;6;
1084;Hovedstaden;2021-05-22;7;
1082;Midtjylland;2021-05-22;1;
1081;Nordjylland;2021-05-22;1;
1085;Sjælland;2021-05-22;1;
1083;Syddanmark;2021-05-22;7;
1084;Hovedstaden;2021-05-23;11;
1082;Midtjylland;2021-05-23;1;
1081;Nordjylland;2021-05-23;1;
1085;Sjælland;2021-05-23;2;
1083;Syddanmark;2021-05-23;3;
1084;Hovedstaden;2021-05-24;10;
1082;Midtjylland;2021-05-24;2;
1081;Nordjylland;2021-05-24;2;
1083;Syddanmark;2021-05-24;3;
1084;Hovedstaden;2021-05-25;6;
1082;Midtjylland;2021-05-25;3;
1081;Nordjylland;2021-05-25;2;
1085;Sjælland;2021-05-25;5;
1083;Syddanmark;2021-05-25;4;
1084;Hovedstaden;2021-05-26;8;
1082;Midtjylland;2021-05-26;4;
1081;Nordjylland;2021-05-26;3;
1085;Sjælland;2021-05-26;3;
1083;Syddanmark;2021-05-26;3;
1084;Hovedstaden;2021-05-27;9;
1082;Midtjylland;2021-05-27;3;
1081;Nordjylland;2021-05-27;2;
1085;Sjælland;2021-05-27;8;
1083;Syddanmark;2021-05-27;7;
1084;Hovedstaden;2021-05-28;12;
1082;Midtjylland;2021-05-28;2;
1081;Nordjylland;2021-05-28;1;
1085;Sjælland;2021-05-28;4;
1083;Syddanmark;2021-05-28;5;
1084;Hovedstaden;2021-05-29;13;
1085;Sjælland;2021-05-29;1;
1083;Syddanmark;2021-05-29;6;
1084;Hovedstaden;2021-05-30;9;
1082;Midtjylland;2021-05-30;1;
1081;Nordjylland;2021-05-30;1;
1085;Sjælland;2021-05-30;1;
1083;Syddanmark;2021-05-30;3;
1084;Hovedstaden;2021-05-31;8;
1082;Midtjylland;2021-05-31;4;
1081;Nordjylland;2021-05-31;4;
1085;Sjælland;2021-05-31;2;
1083;Syddanmark;2021-05-31;3;
1084;Hovedstaden;2021-06-01;7;
1082;Midtjylland;2021-06-01;3;
1081;Nordjylland;2021-06-01;3;
1085;Sjælland;2021-06-01;4;
1083;Syddanmark;2021-06-01;2;
1084;Hovedstaden;2021-06-02;11;
1082;Midtjylland;2021-06-02;2;
1081;Nordjylland;2021-06-02;3;
1085;Sjælland;2021-06-02;1;
1083;Syddanmark;2021-06-02;1;
1084;Hovedstaden;2021-06-03;8;
1082;Midtjylland;2021-06-03;3;
1085;Sjælland;2021-06-03;5;
1083;Syddanmark;2021-06-03;3;
1084;Hovedstaden;2021-06-04;8;
1082;Midtjylland;2021-06-04;6;
1085;Sjælland;2021-06-04;2;
1083;Syddanmark;2021-06-04;2;
1084;Hovedstaden;2021-06-05;6;
1082;Midtjylland;2021-06-05;2;
1081;Nordjylland;2021-06-05;3;
1085;Sjælland;2021-06-05;1;
1083;Syddanmark;2021-06-05;2;
1084;Hovedstaden;2021-06-06;9;
1082;Midtjylland;2021-06-06;2;
1085;Sjælland;2021-06-06;1;
1084;Hovedstaden;2021-06-07;4;
1082;Midtjylland;2021-06-07;3;
1081;Nordjylland;2021-06-07;2;
1085;Sjælland;2021-06-07;3;
1083;Syddanmark;2021-06-07;5;
1084;Hovedstaden;2021-06-08;3;
1082;Midtjylland;2021-06-08;1;
1081;Nordjylland;2021-06-08;1;
1085;Sjælland;2021-06-08;1;
1083;Syddanmark;2021-06-08;3;
1084;Hovedstaden;2021-06-09;5;
1082;Midtjylland;2021-06-09;6;
1081;Nordjylland;2021-06-09;2;
1085;Sjælland;2021-06-09;3;
1083;Syddanmark;2021-06-09;2;
1084;Hovedstaden;2021-06-10;1;
1082;Midtjylland;2021-06-10;2;
1081;Nordjylland;2021-06-10;4;
1085;Sjælland;2021-06-10;3;
1083;Syddanmark;2021-06-10;1;
1084;Hovedstaden;2021-06-11;6;
1082;Midtjylland;2021-06-11;2;
1085;Sjælland;2021-06-11;1;
1083;Syddanmark;2021-06-11;2;
1084;Hovedstaden;2021-06-12;3;
1082;Midtjylland;2021-06-12;2;
1085;Sjælland;2021-06-12;3;
1083;Syddanmark;2021-06-12;1;
1084;Hovedstaden;2021-06-13;8;
1081;Nordjylland;2021-06-13;2;
1085;Sjælland;2021-06-13;2;
1083;Syddanmark;2021-06-13;1;
1084;Hovedstaden;2021-06-14;9;
1082;Midtjylland;2021-06-14;2;
1085;Sjælland;2021-06-14;3;
1084;Hovedstaden;2021-06-15;5;
1082;Midtjylland;2021-06-15;3;
1083;Syddanmark;2021-06-15;1;
1084;Hovedstaden;2021-06-16;5;
1082;Midtjylland;2021-06-16;2;
1081;Nordjylland;2021-06-16;1;
1084;Hovedstaden;2021-06-17;3;
1081;Nordjylland;2021-06-17;1;
1085;Sjælland;2021-06-17;2;
1084;Hovedstaden;2021-06-18;3;
1081;Nordjylland;2021-06-18;3;
1085;Sjælland;2021-06-18;1;
1084;Hovedstaden;2021-06-19;5;
1082;Midtjylland;2021-06-19;1;
1081;Nordjylland;2021-06-19;3;
1085;Sjælland;2021-06-19;1;
1084;Hovedstaden;2021-06-20;4;
1081;Nordjylland;2021-06-20;2;
1085;Sjælland;2021-06-20;4;
1083;Syddanmark;2021-06-20;1;
1084;Hovedstaden;2021-06-21;1;
1081;Nordjylland;2021-06-21;1;
1083;Syddanmark;2021-06-21;1;
1084;Hovedstaden;2021-06-22;3;
1083;Syddanmark;2021-06-22;1;
1084;Hovedstaden;2021-06-23;3;
1082;Midtjylland;2021-06-23;2;
1081;Nordjylland;2021-06-23;1;
1085;Sjælland;2021-06-23;1;
1083;Syddanmark;2021-06-23;1;
1084;Hovedstaden;2021-06-24;3;
1082;Midtjylland;2021-06-24;2;
1081;Nordjylland;2021-06-24;1;
1083;Syddanmark;2021-06-24;2;
1084;Hovedstaden;2021-06-25;2;
1085;Sjælland;2021-06-25;3;
1084;Hovedstaden;2021-06-26;2;
1082;Midtjylland;2021-06-26;1;
1081;Nordjylland;2021-06-26;1;
1083;Syddanmark;2021-06-26;1;
1084;Hovedstaden;2021-06-27;3;
1085;Sjælland;2021-06-27;2;
1084;Hovedstaden;2021-06-29;2;
1085;Sjælland;2021-06-29;1;
1084;Hovedstaden;2021-06-30;1;
1082;Midtjylland;2021-06-30;1;
1085;Sjælland;2021-06-30;2;
1083;Syddanmark;2021-06-30;1;
1084;Hovedstaden;2021-07-01;4;
1082;Midtjylland;2021-07-01;1;
1081;Nordjylland;2021-07-01;1;
1085;Sjælland;2021-07-01;1;
1083;Syddanmark;2021-07-01;1;
1084;Hovedstaden;2021-07-02;4;
1082;Midtjylland;2021-07-02;2;
1082;Midtjylland;2021-07-03;1;
1081;Nordjylland;2021-07-03;1;
1084;Hovedstaden;2021-07-04;2;
1085;Sjælland;2021-07-04;2;
1084;Hovedstaden;2021-07-05;5;
1082;Midtjylland;2021-07-05;2;
1085;Sjælland;2021-07-05;1;
1084;Hovedstaden;2021-07-06;5;
1082;Midtjylland;2021-07-06;1;
1085;Sjælland;2021-07-06;1;
1084;Hovedstaden;2021-07-07;1;
1082;Midtjylland;2021-07-07;2;
1081;Nordjylland;2021-07-07;1;
1085;Sjælland;2021-07-07;1;
1083;Syddanmark;2021-07-07;1;
1084;Hovedstaden;2021-07-08;3;
1082;Midtjylland;2021-07-08;2;
1081;Nordjylland;2021-07-08;1;
1085;Sjælland;2021-07-08;2;
1084;Hovedstaden;2021-07-09;2;
1085;Sjælland;2021-07-09;1;
1083;Syddanmark;2021-07-09;1;
1082;Midtjylland;2021-07-10;3;
1084;Hovedstaden;2021-07-11;6;
1082;Midtjylland;2021-07-11;3;
1084;Hovedstaden;2021-07-12;4;
1082;Midtjylland;2021-07-12;3;
1085;Sjælland;2021-07-12;1;
1083;Syddanmark;2021-07-12;2;
1084;Hovedstaden;2021-07-13;7;
1082;Midtjylland;2021-07-13;2;
1085;Sjælland;2021-07-13;3;
1084;Hovedstaden;2021-07-14;4;
1082;Midtjylland;2021-07-14;2;
1085;Sjælland;2021-07-14;2;
1083;Syddanmark;2021-07-14;2;
1084;Hovedstaden;2021-07-15;2;
1082;Midtjylland;2021-07-15;1;
1085;Sjælland;2021-07-15;2;
1083;Syddanmark;2021-07-15;2;
1084;Hovedstaden;2021-07-16;5;
1082;Midtjylland;2021-07-16;1;
1085;Sjælland;2021-07-16;1;
1083;Syddanmark;2021-07-16;3;
1084;Hovedstaden;2021-07-17;2;
1082;Midtjylland;2021-07-17;2;
1083;Syddanmark;2021-07-17;1;
1084;Hovedstaden;2021-07-18;3;
1082;Midtjylland;2021-07-18;1;
1085;Sjælland;2021-07-18;2;
1083;Syddanmark;2021-07-18;2;
1084;Hovedstaden;2021-07-19;6;
1085;Sjælland;2021-07-19;3;
1083;Syddanmark;2021-07-19;2;
1084;Hovedstaden;2021-07-20;8;
1082;Midtjylland;2021-07-20;1;
1085;Sjælland;2021-07-20;1;
1083;Syddanmark;2021-07-20;1;
1084;Hovedstaden;2021-07-21;3;
1082;Midtjylland;2021-07-21;3;
1081;Nordjylland;2021-07-21;1;
1085;Sjælland;2021-07-21;1;
1083;Syddanmark;2021-07-21;1;
1084;Hovedstaden;2021-07-22;2;
1082;Midtjylland;2021-07-22;3;
1085;Sjælland;2021-07-22;3;
1083;Syddanmark;2021-07-22;2;
1084;Hovedstaden;2021-07-23;5;
1082;Midtjylland;2021-07-23;2;
1085;Sjælland;2021-07-23;1;
1083;Syddanmark;2021-07-23;1;
1084;Hovedstaden;2021-07-24;3;
1082;Midtjylland;2021-07-24;2;
1085;Sjælland;2021-07-24;1;
1084;Hovedstaden;2021-07-25;5;
1082;Midtjylland;2021-07-25;1;
1081;Nordjylland;2021-07-25;1;
1085;Sjælland;2021-07-25;1;
1083;Syddanmark;2021-07-25;4;
1084;Hovedstaden;2021-07-26;6;
1082;Midtjylland;2021-07-26;5;
1083;Syddanmark;2021-07-26;3;
1084;Hovedstaden;2021-07-27;10;
1082;Midtjylland;2021-07-27;4;
1085;Sjælland;2021-07-27;2;
1083;Syddanmark;2021-07-27;4;
1084;Hovedstaden;2021-07-28;2;
1082;Midtjylland;2021-07-28;1;
1085;Sjælland;2021-07-28;2;
1083;Syddanmark;2021-07-28;4;
1084;Hovedstaden;2021-07-29;5;
1082;Midtjylland;2021-07-29;1;
1081;Nordjylland;2021-07-29;2;
1085;Sjælland;2021-07-29;1;
1083;Syddanmark;2021-07-29;1;
1084;Hovedstaden;2021-07-30;8;
1082;Midtjylland;2021-07-30;2;
1081;Nordjylland;2021-07-30;2;
1083;Syddanmark;2021-07-30;1;
1082;Midtjylland;2021-07-31;4;
1081;Nordjylland;2021-07-31;1;
1085;Sjælland;2021-07-31;1;
1083;Syddanmark;2021-07-31;2;
1084;Hovedstaden;2021-08-01;4;
1082;Midtjylland;2021-08-01;1;
1085;Sjælland;2021-08-01;2;
1083;Syddanmark;2021-08-01;2;
1084;Hovedstaden;2021-08-02;4;
1082;Midtjylland;2021-08-02;2;
1085;Sjælland;2021-08-02;2;
1083;Syddanmark;2021-08-02;1;
1084;Hovedstaden;2021-08-03;3;
1082;Midtjylland;2021-08-03;1;
1085;Sjælland;2021-08-03;4;
1083;Syddanmark;2021-08-03;1;
1084;Hovedstaden;2021-08-04;2;
1082;Midtjylland;2021-08-04;1;
1085;Sjælland;2021-08-04;2;
1083;Syddanmark;2021-08-04;1;
1084;Hovedstaden;2021-08-05;7;
1082;Midtjylland;2021-08-05;4;
1085;Sjælland;2021-08-05;2;
1083;Syddanmark;2021-08-05;4;
1084;Hovedstaden;2021-08-06;5;
1082;Midtjylland;2021-08-06;1;
1085;Sjælland;2021-08-06;3;
1083;Syddanmark;2021-08-06;3;
1084;Hovedstaden;2021-08-07;10;
1082;Midtjylland;2021-08-07;2;
1081;Nordjylland;2021-08-07;1;
1085;Sjælland;2021-08-07;1;
1083;Syddanmark;2021-08-07;3;
1084;Hovedstaden;2021-08-08;6;
1082;Midtjylland;2021-08-08;1;
1085;Sjælland;2021-08-08;1;
1083;Syddanmark;2021-08-08;5;
1084;Hovedstaden;2021-08-09;9;
1082;Midtjylland;2021-08-09;3;
1081;Nordjylland;2021-08-09;1;
1083;Syddanmark;2021-08-09;2;
1084;Hovedstaden;2021-08-10;8;
1082;Midtjylland;2021-08-10;11;
1085;Sjælland;2021-08-10;1;
1083;Syddanmark;2021-08-10;3;
1084;Hovedstaden;2021-08-11;11;
1082;Midtjylland;2021-08-11;4;
1081;Nordjylland;2021-08-11;2;
1085;Sjælland;2021-08-11;4;
1083;Syddanmark;2021-08-11;3;
1084;Hovedstaden;2021-08-12;5;
1082;Midtjylland;2021-08-12;6;
1083;Syddanmark;2021-08-12;5;
1084;Hovedstaden;2021-08-13;5;
1082;Midtjylland;2021-08-13;3;
1081;Nordjylland;2021-08-13;1;
1085;Sjælland;2021-08-13;2;
1083;Syddanmark;2021-08-13;3;
1084;Hovedstaden;2021-08-14;4;
1082;Midtjylland;2021-08-14;7;
1081;Nordjylland;2021-08-14;2;
1085;Sjælland;2021-08-14;2;
1083;Syddanmark;2021-08-14;5;
1084;Hovedstaden;2021-08-15;8;
1082;Midtjylland;2021-08-15;3;
1083;Syddanmark;2021-08-15;7;
1084;Hovedstaden;2021-08-16;9;
1082;Midtjylland;2021-08-16;5;
1081;Nordjylland;2021-08-16;1;
1085;Sjælland;2021-08-16;3;
1083;Syddanmark;2021-08-16;4;
1084;Hovedstaden;2021-08-17;10;
1082;Midtjylland;2021-08-17;6;
1081;Nordjylland;2021-08-17;2;
1085;Sjælland;2021-08-17;4;
1083;Syddanmark;2021-08-17;5;
1084;Hovedstaden;2021-08-18;11;
1082;Midtjylland;2021-08-18;3;
1085;Sjælland;2021-08-18;8;
1083;Syddanmark;2021-08-18;7;
1084;Hovedstaden;2021-08-19;7;
1082;Midtjylland;2021-08-19;5;
1081;Nordjylland;2021-08-19;3;
1085;Sjælland;2021-08-19;3;
1083;Syddanmark;2021-08-19;3;
1084;Hovedstaden;2021-08-20;10;
1082;Midtjylland;2021-08-20;2;
1081;Nordjylland;2021-08-20;3;
1085;Sjælland;2021-08-20;2;
1083;Syddanmark;2021-08-20;6;
1084;Hovedstaden;2021-08-21;12;
1082;Midtjylland;2021-08-21;7;
1081;Nordjylland;2021-08-21;1;
1085;Sjælland;2021-08-21;2;
1083;Syddanmark;2021-08-21;5;
1084;Hovedstaden;2021-08-22;12;
1082;Midtjylland;2021-08-22;6;
1081;Nordjylland;2021-08-22;3;
1085;Sjælland;2021-08-22;3;
1083;Syddanmark;2021-08-22;2;
1084;Hovedstaden;2021-08-23;11;
1082;Midtjylland;2021-08-23;3;
1083;Syddanmark;2021-08-23;5;
1084;Hovedstaden;2021-08-24;7;
1082;Midtjylland;2021-08-24;4;
1081;Nordjylland;2021-08-24;4;
1085;Sjælland;2021-08-24;5;
1083;Syddanmark;2021-08-24;4;
1084;Hovedstaden;2021-08-25;15;
1082;Midtjylland;2021-08-25;1;
1085;Sjælland;2021-08-25;4;
1083;Syddanmark;2021-08-25;3;
1084;Hovedstaden;2021-08-26;7;
1082;Midtjylland;2021-08-26;2;
1081;Nordjylland;2021-08-26;3;
1085;Sjælland;2021-08-26;3;
1083;Syddanmark;2021-08-26;2;
1084;Hovedstaden;2021-08-27;13;
1082;Midtjylland;2021-08-27;3;
1081;Nordjylland;2021-08-27;3;
1085;Sjælland;2021-08-27;6;
1083;Syddanmark;2021-08-27;4;
1084;Hovedstaden;2021-08-28;11;
1082;Midtjylland;2021-08-28;3;
1081;Nordjylland;2021-08-28;1;
1085;Sjælland;2021-08-28;1;
1083;Syddanmark;2021-08-28;6;
1084;Hovedstaden;2021-08-29;6;
1082;Midtjylland;2021-08-29;4;
1081;Nordjylland;2021-08-29;2;
1085;Sjælland;2021-08-29;3;
1083;Syddanmark;2021-08-29;2;
1084;Hovedstaden;2021-08-30;8;
1082;Midtjylland;2021-08-30;5;
1081;Nordjylland;2021-08-30;5;
1085;Sjælland;2021-08-30;4;
1083;Syddanmark;2021-08-30;6;
1084;Hovedstaden;2021-08-31;12;
1082;Midtjylland;2021-08-31;2;
1081;Nordjylland;2021-08-31;1;
1085;Sjælland;2021-08-31;3;
1083;Syddanmark;2021-08-31;4;
1084;Hovedstaden;2021-09-01;11;
1082;Midtjylland;2021-09-01;4;
1081;Nordjylland;2021-09-01;5;
1085;Sjælland;2021-09-01;1;
1083;Syddanmark;2021-09-01;2;
1084;Hovedstaden;2021-09-02;8;
1082;Midtjylland;2021-09-02;3;
1081;Nordjylland;2021-09-02;3;
1085;Sjælland;2021-09-02;2;
1083;Syddanmark;2021-09-02;5;
1084;Hovedstaden;2021-09-03;9;
1082;Midtjylland;2021-09-03;2;
1081;Nordjylland;2021-09-03;1;
1085;Sjælland;2021-09-03;2;
1083;Syddanmark;2021-09-03;2;
1084;Hovedstaden;2021-09-04;9;
1082;Midtjylland;2021-09-04;7;
1081;Nordjylland;2021-09-04;3;
1085;Sjælland;2021-09-04;3;
1083;Syddanmark;2021-09-04;1;
1084;Hovedstaden;2021-09-05;12;
1082;Midtjylland;2021-09-05;4;
1081;Nordjylland;2021-09-05;1;
1084;Hovedstaden;2021-09-06;14;
1082;Midtjylland;2021-09-06;2;
1081;Nordjylland;2021-09-06;2;
1083;Syddanmark;2021-09-06;1;
1084;Hovedstaden;2021-09-07;13;
1082;Midtjylland;2021-09-07;9;
1081;Nordjylland;2021-09-07;1;
1085;Sjælland;2021-09-07;3;
1083;Syddanmark;2021-09-07;2;
1084;Hovedstaden;2021-09-08;9;
1082;Midtjylland;2021-09-08;5;
1085;Sjælland;2021-09-08;1;
1083;Syddanmark;2021-09-08;1;
1084;Hovedstaden;2021-09-09;7;
1082;Midtjylland;2021-09-09;4;
1081;Nordjylland;2021-09-09;2;
1085;Sjælland;2021-09-09;3;
1083;Syddanmark;2021-09-09;2;
1084;Hovedstaden;2021-09-10;6;
