"Regionskode";"Region";"Dato";"Indlæggelser";"timestamp_2025-10-21T10:00:08.562"
1082;Midtjylland;2021-09-10;3;
1081;Nordjylland;2021-09-10;1;
1085;Sjælland;2021-09-10;2;
1083;Syddanmark;2021-09-10;3;
1084;Hovedstaden;2021-09-11;3;
1082;Midtjylland;2021-09-11;2;
1085;Sjælland;2021-09-11;3;
1084;Hovedstaden;2021-09-12;4;
1082;Midtjylland;2021-09-12;5;
1085;Sjælland;2021-09-12;4;
1083;Syddanmark;2021-09-12;2;
1084;Hovedstaden;2021-09-13;5;
1082;Midtjylland;2021-09-13;4;
1081;Nordjylland;2021-09-13;3;
1085;Sjælland;2021-09-13;2;
1083;Syddanmark;2021-09-13;2;
1084;Hovedstaden;2021-09-14;4;
1082;Midtjylland;2021-09-14;2;
1085;Sjælland;2021-09-14;3;
1083;Syddanmark;2021-09-14;1;
1084;Hovedstaden;2021-09-15;5;
1082;Midtjylland;2021-09-15;1;
1081;Nordjylland;2021-09-15;2;
1085;Sjælland;2021-09-15;2;
1083;Syddanmark;2021-09-15;1;
1084;Hovedstaden;2021-09-16;5;
1082;Midtjylland;2021-09-16;3;
1085;Sjælland;2021-09-16;3;
1084;Hovedstaden;2021-09-17;6;
1081;Nordjylland;2021-09-17;2;
1085;Sjælland;2021-09-17;1;
1083;Syddanmark;2021-09-17;1;
1084;Hovedstaden;2021-09-18;1;
1081;Nordjylland;2021-09-18;1;
1085;Sjælland;2021-09-18;1;
1083;Syddanmark;2021-09-18;4;
1084;Hovedstaden;2021-09-19;3;
1082;Midtjylland;2021-09-19;2;
1085;Sjælland;2021-09-19;1;
1083;Syddanmark;2021-09-19;2;
1084;Hovedstaden;2021-09-20;6;
1082;Midtjylland;2021-09-20;2;
1081;Nordjylland;2021-09-20;2;
1085;Sjælland;2021-09-20;3;
1083;Syddanmark;2021-09-20;1;
1084;Hovedstaden;2021-09-21;4;
1082;Midtjylland;2021-09-21;1;
1081;Nordjylland;2021-09-21;3;
1084;Hovedstaden;2021-09-22;4;
1082;Midtjylland;2021-09-22;1;
1081;Nordjylland;2021-09-22;3;
1085;Sjælland;2021-09-22;3;
1084;Hovedstaden;2021-09-23;5;
1085;Sjælland;2021-09-23;2;
1083;Syddanmark;2021-09-23;1;
1084;Hovedstaden;2021-09-24;3;
1082;Midtjylland;2021-09-24;2;
1085;Sjælland;2021-09-24;4;
1083;Syddanmark;2021-09-24;3;
1084;Hovedstaden;2021-09-25;4;
1082;Midtjylland;2021-09-25;2;
1085;Sjælland;2021-09-25;1;
1083;Syddanmark;2021-09-25;2;
1084;Hovedstaden;2021-09-26;9;
1081;Nordjylland;2021-09-26;1;
1085;Sjælland;2021-09-26;2;
1083;Syddanmark;2021-09-26;7;
1084;Hovedstaden;2021-09-27;3;
1082;Midtjylland;2021-09-27;1;
1085;Sjælland;2021-09-27;3;
1083;Syddanmark;2021-09-27;4;
1084;Hovedstaden;2021-09-28;2;
1081;Nordjylland;2021-09-28;1;
1085;Sjælland;2021-09-28;2;
1083;Syddanmark;2021-09-28;3;
1084;Hovedstaden;2021-09-29;6;
1082;Midtjylland;2021-09-29;2;
1081;Nordjylland;2021-09-29;3;
1085;Sjælland;2021-09-29;2;
1083;Syddanmark;2021-09-29;1;
1084;Hovedstaden;2021-09-30;6;
1082;Midtjylland;2021-09-30;1;
1085;Sjælland;2021-09-30;2;
1083;Syddanmark;2021-09-30;2;
1084;Hovedstaden;2021-10-01;7;
1082;Midtjylland;2021-10-01;2;
1085;Sjælland;2021-10-01;4;
1083;Syddanmark;2021-10-01;4;
1084;Hovedstaden;2021-10-02;3;
1082;Midtjylland;2021-10-02;1;
1083;Syddanmark;2021-10-02;1;
1084;Hovedstaden;2021-10-03;4;
1082;Midtjylland;2021-10-03;2;
1085;Sjælland;2021-10-03;1;
1084;Hovedstaden;2021-10-04;8;
1082;Midtjylland;2021-10-04;2;
1081;Nordjylland;2021-10-04;1;
1085;Sjælland;2021-10-04;2;
1083;Syddanmark;2021-10-04;1;
1084;Hovedstaden;2021-10-05;10;
1082;Midtjylland;2021-10-05;1;
1081;Nordjylland;2021-10-05;3;
1085;Sjælland;2021-10-05;3;
1083;Syddanmark;2021-10-05;1;
1084;Hovedstaden;2021-10-06;9;
1085;Sjælland;2021-10-06;5;
1083;Syddanmark;2021-10-06;1;
1084;Hovedstaden;2021-10-07;2;
1082;Midtjylland;2021-10-07;3;
1081;Nordjylland;2021-10-07;2;
1085;Sjælland;2021-10-07;3;
1083;Syddanmark;2021-10-07;1;
1084;Hovedstaden;2021-10-08;4;
1082;Midtjylland;2021-10-08;1;
1085;Sjælland;2021-10-08;1;
1084;Hovedstaden;2021-10-09;6;
1082;Midtjylland;2021-10-09;1;
1081;Nordjylland;2021-10-09;1;
1085;Sjælland;2021-10-09;2;
1083;Syddanmark;2021-10-09;2;
1084;Hovedstaden;2021-10-10;5;
1082;Midtjylland;2021-10-10;2;
1081;Nordjylland;2021-10-10;1;
1085;Sjælland;2021-10-10;4;
1083;Syddanmark;2021-10-10;1;
1084;Hovedstaden;2021-10-11;3;
1081;Nordjylland;2021-10-11;1;
1085;Sjælland;2021-10-11;4;
1083;Syddanmark;2021-10-11;4;
1084;Hovedstaden;2021-10-12;8;
1082;Midtjylland;2021-10-12;2;
1085;Sjælland;2021-10-12;2;
1084;Hovedstaden;2021-10-13;12;
1082;Midtjylland;2021-10-13;1;
1081;Nordjylland;2021-10-13;7;
1085;Sjælland;2021-10-13;2;
1083;Syddanmark;2021-10-13;3;
1084;Hovedstaden;2021-10-14;11;
1082;Midtjylland;2021-10-14;3;
1081;Nordjylland;2021-10-14;1;
1085;Sjælland;2021-10-14;3;
1083;Syddanmark;2021-10-14;4;
1084;Hovedstaden;2021-10-15;9;
1082;Midtjylland;2021-10-15;2;
1081;Nordjylland;2021-10-15;2;
1085;Sjælland;2021-10-15;5;
1083;Syddanmark;2021-10-15;2;
1084;Hovedstaden;2021-10-16;9;
1082;Midtjylland;2021-10-16;1;
1081;Nordjylland;2021-10-16;2;
1085;Sjælland;2021-10-16;5;
1083;Syddanmark;2021-10-16;1;
1084;Hovedstaden;2021-10-17;11;
1085;Sjælland;2021-10-17;3;
1083;Syddanmark;2021-10-17;1;
1084;Hovedstaden;2021-10-18;18;
1082;Midtjylland;2021-10-18;3;
1081;Nordjylland;2021-10-18;2;
1085;Sjælland;2021-10-18;3;
1083;Syddanmark;2021-10-18;3;
1084;Hovedstaden;2021-10-19;12;
1082;Midtjylland;2021-10-19;2;
1085;Sjælland;2021-10-19;2;
1083;Syddanmark;2021-10-19;1;
1084;Hovedstaden;2021-10-20;15;
1082;Midtjylland;2021-10-20;1;
1081;Nordjylland;2021-10-20;3;
1085;Sjælland;2021-10-20;4;
1083;Syddanmark;2021-10-20;5;
1084;Hovedstaden;2021-10-21;14;
1082;Midtjylland;2021-10-21;8;
1085;Sjælland;2021-10-21;1;
1083;Syddanmark;2021-10-21;3;
1084;Hovedstaden;2021-10-22;21;
1082;Midtjylland;2021-10-22;4;
1081;Nordjylland;2021-10-22;4;
1085;Sjælland;2021-10-22;3;
1083;Syddanmark;2021-10-22;1;
1084;Hovedstaden;2021-10-23;21;
1082;Midtjylland;2021-10-23;1;
1081;Nordjylland;2021-10-23;3;
1085;Sjælland;2021-10-23;2;
1083;Syddanmark;2021-10-23;3;
1084;Hovedstaden;2021-10-24;21;
1082;Midtjylland;2021-10-24;6;
1081;Nordjylland;2021-10-24;3;
1085;Sjælland;2021-10-24;4;
1083;Syddanmark;2021-10-24;4;
1084;Hovedstaden;2021-10-25;16;
1082;Midtjylland;2021-10-25;6;
1081;Nordjylland;2021-10-25;2;
1085;Sjælland;2021-10-25;3;
1083;Syddanmark;2021-10-25;4;
1084;Hovedstaden;2021-10-26;15;
1082;Midtjylland;2021-10-26;4;
1081;Nordjylland;2021-10-26;2;
1085;Sjælland;2021-10-26;6;
1083;Syddanmark;2021-10-26;4;
1084;Hovedstaden;2021-10-27;25;
1082;Midtjylland;2021-10-27;5;
1081;Nordjylland;2021-10-27;3;
1085;Sjælland;2021-10-27;7;
1083;Syddanmark;2021-10-27;3;
1084;Hovedstaden;2021-10-28;19;
1082;Midtjylland;2021-10-28;4;
1081;Nordjylland;2021-10-28;1;
1085;Sjælland;2021-10-28;6;
1083;Syddanmark;2021-10-28;3;
1084;Hovedstaden;2021-10-29;16;
1082;Midtjylland;2021-10-29;2;
1081;Nordjylland;2021-10-29;3;
1085;Sjælland;2021-10-29;5;
1083;Syddanmark;2021-10-29;7;
1084;Hovedstaden;2021-10-30;17;
1082;Midtjylland;2021-10-30;1;
1081;Nordjylland;2021-10-30;2;
1085;Sjælland;2021-10-30;8;
1083;Syddanmark;2021-10-30;5;
1084;Hovedstaden;2021-10-31;28;
1082;Midtjylland;2021-10-31;3;
1081;Nordjylland;2021-10-31;2;
1085;Sjælland;2021-10-31;4;
1083;Syddanmark;2021-10-31;6;
1084;Hovedstaden;2021-11-01;25;
1082;Midtjylland;2021-11-01;4;
1081;Nordjylland;2021-11-01;6;
1085;Sjælland;2021-11-01;7;
1083;Syddanmark;2021-11-01;8;
1084;Hovedstaden;2021-11-02;20;
