"Uge";"Køn";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-10-21T10:00:08.562"
2022-U12;M;2628;553;19,0;
2022-U13;K;2638;418;14,2;
2022-U13;M;1992;358;14,2;
2022-U14;K;2228;329;12,0;
2022-U14;M;1715;276;13,1;
2022-U15;K;1436;233;9,0;
2022-U15;M;1164;199;11,4;
2022-U16;K;1481;204;9,1;
2022-U16;M;1173;171;8,5;
2022-U17;K;1228;131;6,4;
2022-U17;M;987;108;7,0;
2022-U18;K;1021;105;4,6;
2022-U18;M;827;92;6,4;
2022-U19;K;868;87;4,0;
2022-U19;M;708;74;4,3;
2022-U20;K;795;73;3,3;
2022-U20;M;652;65;4,2;
2022-U21;K;625;57;2,5;
2022-U21;M;517;52;3,0;
2022-U22;K;604;66;2,7;
2022-U22;M;518;61;3,2;
2022-U23;K;675;101;2,7;
2022-U23;M;574;93;3,4;
2022-U24;K;834;144;4,6;
2022-U24;M;702;133;4,7;
2022-U25;K;923;181;6,3;
2022-U25;M;805;170;6,6;
2022-U26;K;1152;233;6,3;
2022-U26;M;963;211;8,1;
2022-U27;K;1270;286;7,6;
2022-U27;M;1060;255;9,4;
2022-U28;K;1289;279;9,9;
2022-U28;M;1052;245;11,6;
2022-U29;K;1147;239;9,9;
2022-U29;M;952;210;12,4;
2022-U30;K;985;192;8,2;
2022-U30;M;797;170;9,0;
2022-U31;K;861;184;7,2;
2022-U31;M;715;164;7,8;
2022-U32;K;902;216;7,0;
2022-U32;M;749;194;8,6;
2022-U33;K;1008;160;7,1;
2022-U33;M;727;138;8,1;
2022-U34;K;890;116;5,0;
2022-U34;M;627;99;6,6;
2022-U35;K;865;88;4,1;
2022-U35;M;565;78;4,7;
2022-U36;K;869;98;4,4;
2022-U36;M;588;85;5,2;
2022-U37;K;898;97;4,8;
2022-U37;M;563;80;5,4;
2022-U38;K;951;127;6,1;
2022-U38;M;627;108;7,8;
2022-U39;K;1129;151;8,4;
