"Uge";"Regionskode";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere";"Første reinfektion";"To eller flere reinfektioner";"timestamp_2025-10-21T10:00:08.562"
2022-U08;1083;Syddanmark;1329;108,34;1321;8;
2022-U09;1084;Hovedstaden;2380;127,84;2345;35;
2022-U09;1082;Midtjylland;1221;91,16;1215;6;
2022-U09;1081;Nordjylland;571;96,60;566;5;
2022-U09;1085;Sjælland;722;85,77;713;9;
2022-U09;1083;Syddanmark;969;79,00;965;4;
2022-U10;1084;Hovedstaden;1838;98,67;1816;22;
2022-U10;1082;Midtjylland;835;62,29;829;6;
2022-U10;1081;Nordjylland;403;68,18;400;3;
2022-U10;1085;Sjælland;579;68,76;576;3;
2022-U10;1083;Syddanmark;746;60,80;739;7;
2022-U11;1084;Hovedstaden;1064;57,12;1038;26;
2022-U11;1082;Midtjylland;509;37,97;505;4;
2022-U11;1081;Nordjylland;243;41,11;241;2;
2022-U11;1085;Sjælland;415;49,28;408;7;
2022-U11;1083;Syddanmark;475;38,72;471;4;
2022-U12;1084;Hovedstaden;796;42,73;778;18;
2022-U12;1082;Midtjylland;291;21,71;290;1;
2022-U12;1081;Nordjylland;142;24,02;140;2;
2022-U12;1085;Sjælland;291;34,56;282;9;
2022-U12;1083;Syddanmark;343;27,96;340;3;
2022-U13;1084;Hovedstaden;588;31,57;566;22;
2022-U13;1082;Midtjylland;164;12,23;162;2;
2022-U13;1081;Nordjylland;93;15,73;93;0;
2022-U13;1085;Sjælland;199;23,63;196;3;
2022-U13;1083;Syddanmark;192;15,65;189;3;
2022-U14;1084;Hovedstaden;501;26,85;485;16;
2022-U14;1082;Midtjylland;148;11,03;146;2;
2022-U14;1081;Nordjylland;84;14,21;84;0;
2022-U14;1085;Sjælland;172;20,41;168;4;
2022-U14;1083;Syddanmark;171;13,93;168;3;
2022-U15;1084;Hovedstaden;361;19,35;353;8;
2022-U15;1082;Midtjylland;107;7,97;106;1;
2022-U15;1081;Nordjylland;58;9,81;58;0;
2022-U15;1085;Sjælland;138;16,38;136;2;
2022-U15;1083;Syddanmark;137;11,16;135;2;
2022-U16;1084;Hovedstaden;339;18,17;330;9;
2022-U16;1082;Midtjylland;139;10,36;136;3;
2022-U16;1081;Nordjylland;88;14,89;84;4;
2022-U16;1085;Sjælland;128;15,19;126;2;
2022-U16;1083;Syddanmark;133;10,83;132;1;
2022-U17;1084;Hovedstaden;269;14,42;260;9;
2022-U17;1082;Midtjylland;98;7,30;94;4;
2022-U17;1081;Nordjylland;50;8,46;49;1;
2022-U17;1085;Sjælland;84;9,97;81;3;
2022-U17;1083;Syddanmark;94;7,65;92;2;
2022-U18;1084;Hovedstaden;213;11,41;201;12;
2022-U18;1082;Midtjylland;62;4,62;61;1;
2022-U18;1081;Nordjylland;31;5,24;31;0;
2022-U18;1085;Sjælland;69;8,18;65;4;
2022-U18;1083;Syddanmark;76;6,19;75;1;
2022-U19;1084;Hovedstaden;169;9,05;160;9;
2022-U19;1082;Midtjylland;49;3,65;49;0;
2022-U19;1081;Nordjylland;28;4,74;28;0;
2022-U19;1085;Sjælland;50;5,93;49;1;
2022-U19;1083;Syddanmark;63;5,13;61;2;
2022-U20;1084;Hovedstaden;163;8,73;160;3;
2022-U20;1082;Midtjylland;59;4,39;58;1;
2022-U20;1081;Nordjylland;25;4,23;25;0;
2022-U20;1085;Sjælland;38;4,51;36;2;
2022-U20;1083;Syddanmark;57;4,64;56;1;
2022-U21;1084;Hovedstaden;123;6,59;119;4;
2022-U21;1082;Midtjylland;35;2,61;34;1;
2022-U21;1081;Nordjylland;22;3,72;22;0;
2022-U21;1085;Sjælland;46;5,46;44;2;
2022-U21;1083;Syddanmark;37;3,01;35;2;
2022-U22;1084;Hovedstaden;167;8,95;158;9;
2022-U22;1082;Midtjylland;61;4,54;58;3;
2022-U22;1081;Nordjylland;25;4,23;25;0;
2022-U22;1085;Sjælland;50;5,93;48;2;
2022-U22;1083;Syddanmark;58;4,72;56;2;
2022-U23;1084;Hovedstaden;372;19,90;359;13;
2022-U23;1082;Midtjylland;116;8,62;114;2;
2022-U23;1081;Nordjylland;46;7,77;46;0;
2022-U23;1085;Sjælland;94;11,13;92;2;
2022-U23;1083;Syddanmark;89;7,23;86;3;
2022-U24;1084;Hovedstaden;544;29,10;524;20;
2022-U24;1082;Midtjylland;194;14,42;190;4;
2022-U24;1081;Nordjylland;68;11,48;64;4;
2022-U24;1085;Sjælland;155;18,36;149;6;
2022-U24;1083;Syddanmark;151;12,27;148;3;
2022-U25;1084;Hovedstaden;844;45,15;815;29;
2022-U25;1082;Midtjylland;246;18,28;240;6;
2022-U25;1081;Nordjylland;125;21,11;125;0;
2022-U25;1085;Sjælland;215;25,46;210;5;
2022-U25;1083;Syddanmark;189;15,36;185;4;
2022-U26;1084;Hovedstaden;982;52,54;935;47;
2022-U26;1082;Midtjylland;423;31,44;412;11;
2022-U26;1081;Nordjylland;154;26,01;152;2;
2022-U26;1085;Sjælland;279;33,04;268;11;
2022-U26;1083;Syddanmark;468;38,03;456;12;
2022-U27;1084;Hovedstaden;1710;91,38;1616;94;
2022-U27;1082;Midtjylland;494;36,62;474;20;
2022-U27;1081;Nordjylland;310;52,26;302;8;
2022-U27;1085;Sjælland;565;66,82;545;20;
2022-U27;1083;Syddanmark;511;41,45;491;20;
2022-U28;1084;Hovedstaden;1346;71,93;1275;71;
2022-U28;1082;Midtjylland;567;42,04;551;16;
2022-U28;1081;Nordjylland;278;46,87;269;9;
2022-U28;1085;Sjælland;554;65,51;539;15;
2022-U28;1083;Syddanmark;543;44,04;534;9;
2022-U29;1084;Hovedstaden;1131;60,44;1060;71;
2022-U29;1082;Midtjylland;557;41,29;537;20;
2022-U29;1081;Nordjylland;254;42,82;248;6;
2022-U29;1085;Sjælland;444;52,51;431;13;
2022-U29;1083;Syddanmark;510;41,36;498;12;
2022-U30;1084;Hovedstaden;899;48,04;854;45;
2022-U30;1082;Midtjylland;567;42,04;547;20;
2022-U30;1081;Nordjylland;208;35,06;198;10;
2022-U30;1085;Sjælland;384;45,41;372;12;
2022-U30;1083;Syddanmark;501;40,63;488;13;
2022-U31;1084;Hovedstaden;881;47,05;826;55;
2022-U31;1082;Midtjylland;524;38,80;506;18;
2022-U31;1081;Nordjylland;244;41,12;234;10;
2022-U31;1085;Sjælland;393;46,39;387;6;
2022-U31;1083;Syddanmark;496;40,21;485;11;
2022-U32;1084;Hovedstaden;996;53,19;937;59;
2022-U32;1082;Midtjylland;988;73,16;966;22;
2022-U32;1081;Nordjylland;304;51,23;292;12;
2022-U32;1085;Sjælland;457;53,95;437;20;
2022-U32;1083;Syddanmark;635;51,47;622;13;
2022-U33;1084;Hovedstaden;702;37,49;657;45;
2022-U33;1082;Midtjylland;656;48,57;636;20;
2022-U33;1081;Nordjylland;245;41,28;236;9;
2022-U33;1085;Sjælland;378;44,62;369;9;
2022-U33;1083;Syddanmark;493;39,96;486;7;
2022-U34;1084;Hovedstaden;448;23,93;420;28;
2022-U34;1082;Midtjylland;523;38,72;515;8;
2022-U34;1081;Nordjylland;237;39,94;229;8;
2022-U34;1085;Sjælland;226;26,68;222;4;
2022-U34;1083;Syddanmark;307;24,89;300;7;
2022-U35;1084;Hovedstaden;375;20,03;356;19;
2022-U35;1082;Midtjylland;327;24,21;316;11;
2022-U35;1081;Nordjylland;140;23,59;137;3;
2022-U35;1085;Sjælland;174;20,54;169;5;
2022-U35;1083;Syddanmark;224;18,16;219;5;
2022-U36;1084;Hovedstaden;430;22,95;412;18;
2022-U36;1082;Midtjylland;309;22,86;301;8;
2022-U36;1081;Nordjylland;152;25,61;148;4;
2022-U36;1085;Sjælland;227;26,79;219;8;
2022-U36;1083;Syddanmark;250;20,26;240;10;
2022-U37;1084;Hovedstaden;456;24,33;421;35;
2022-U37;1082;Midtjylland;231;17,09;229;2;
2022-U37;1081;Nordjylland;137;23,08;130;7;
2022-U37;1085;Sjælland;210;24,78;200;10;
2022-U37;1083;Syddanmark;237;19,21;231;6;
2022-U38;1084;Hovedstaden;575;30,68;552;23;
2022-U38;1082;Midtjylland;334;24,71;324;10;
2022-U38;1081;Nordjylland;159;26,79;153;6;
2022-U38;1085;Sjælland;304;35,87;297;7;
